I1,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,P(Mid),Y1,Y2,C3_Prime,C5_Prime,C6_Prime,industry,industry_1,industry_2,industry_3,industry_4,industry_5,S1_Prime,S2_Prime,S3_Prime,T3_Prime,T4_Prime,T5_Prime,market_cap
AATI,2.302585092994046,2.1179117921274466,2.1400661634962708,2.28113106171745,4.804021044733257,True,1.508104283022319,0.029074273483673547,0.3491853545881768,0.3592533165324596,3.938567560650258,6.152732694704104,9.450852217451484,9.355306142226368,2.5887756556677655,6.536691597591305,4.127134385045092,4.762173934797756,4.9344739331306915,2.1972245773362196,0,1,1,1.3517920760146351,2.2314431669405645,1.0,1,0,0,0,0,-5.323717832406393,-4.688678282653728,-4.516378284320793,0.826056463168774,0.4101448619284744,0.054249547920433995,18.47894965207634
ABPI,2.0794415416798357,2.1544346900318834,2.0794415416798357,1.9354383203138983,5.556828061699537,False,-1.1744602923506589,-0.013351642245815755,0.3516611966862921,0.372129903642677,3.25563196499332,6.673297967767654,9.989298208949238,9.882519246099932,2.8265826965532095,7.02108396428914,4.2626798770413155,5.488937726156687,5.4680601411351315,2.1972245773362196,1,0,0,2.4873064069549757,0.0,1.0,1,0,0,0,0,-5.726618331907924,-4.500360482792552,-4.5212380678141075,0.807705371897513,0.4157070456031108,0.0513950073421439,16.77042083699801
ACAD,1.9459101490553132,2.4101422641752306,2.4849066497880004,1.8852036131317298,4.499809670330265,True,-1.0743370709889664,0.02071500183158597,0.3556458874075385,0.3654989156570514,1.9985025991744838,5.303304908059076,8.568266461600238,8.473241303887054,2.244924096618746,5.783825182329737,4.110873864173311,3.4965075614664802,4.0943445622221,2.5649493574615367,1,0,0,1.2146556193223292,0.0,1.0,1,0,0,0,0,-4.457392597426927,-5.071758900133758,-4.473921899378137,0.8269175261887148,0.40553451647236455,0.06176358798935766,17.37085861945369
ACHN,2.4423470353692043,2.519842099789747,2.6390573296152584,2.3139667072068093,5.342334251964811,True,-0.9690521083433502,0.020023137256796594,0.35661134055201976,0.36641683208558784,2.1431203183430187,5.793013608384144,9.019058793810718,8.93247660846174,2.369529997278256,6.2324480165505225,4.382026634673881,4.07753744390572,4.700480365792417,2.70805020110221,1,1,0,1.193830679748194,0.0,1.0,1,0,0,0,0,-4.637032159136836,-4.941521349904997,-4.3185784280183,0.8409993678299864,0.29120501189768,0.06162973725632643,17.761934990109754
ACLI,3.044522437723423,2.7589241763811208,2.9444389791664403,3.83947761435294,4.382026634673881,True,0.4121285299808557,-0.034894701316965815,0.3512101805118532,0.3612800754936422,6.449360802004054,6.349138991379798,9.604407435131979,9.486152271857476,2.6366746651365425,6.579251212010101,4.204692619390966,5.003946305945459,5.117993812416755,2.995732273553991,0,1,1,1.3154073592376931,1.7099759466766968,3.0,0,0,1,0,0,-5.399714815741012,-4.6004611291865185,-4.486413622715222,0.789377730712062,0.34505354785075065,0.048550236008091704,18.970246196034285
ACOM,2.6026896854443837,2.4384994805366564,2.5257286443082556,2.4215648991616385,4.543294782270004,True,0.3914867641168864,-0.057556076660705446,0.34894527136624504,0.36216820441158226,5.286199237717787,6.234410725718371,9.798071479779479,9.542087175590064,2.6261063346265057,6.703188113240863,4.127134385045092,4.564348191467836,5.198497031265826,2.6026896854443837,0,1,1,1.7447366879143171,0.0,2.0,0,1,0,0,0,-5.670937094734388,-5.2337232883116425,-4.599574448513653,0.5993146010071656,0.41362552864282975,0.04528029334963053,18.420680688952363
ACOR,1.791759469228055,2.3513346877207577,2.3978952727983707,1.8870775724874946,4.852030263919617,True,-1.232008967157985,0.004105524336536758,0.35471816152660546,0.3646778597044102,1.6382197138595525,6.20455776256869,9.665103451805633,9.543449817892206,2.6901295909123975,6.548219102762372,4.406719247264253,4.663439094112067,4.90527477843843,2.4849066497880004,1,1,0,1.242162671654869,0.0,1.0,1,0,0,0,0,-5.258384204541381,-5.001664357693566,-4.7598286733672035,0.7840305693869813,0.5862299765330069,0.04429496128950374,17.312018119430753
ACRX,1.6094379124341003,2.4101422641752306,2.4849066497880004,1.6570558194979235,4.51085950651685,False,-0.9045041696510274,0.040619988496656566,0.35459137516642336,0.36153269287261736,4.592588484196865,5.811140992976701,9.325987795502144,9.215924750270084,2.551632824590253,4.229396263238405,4.007333185232471,4.787491742782046,4.804021044733257,2.5649493574615367,1,0,0,0.8843742775538389,0.0,1.0,1,0,0,0,0,-5.3186546102696735,-4.538496052720099,-4.521966750768888,0.8024176143740532,0.6828498691240273,-8.907892392659897e-05,17.50439001207821
ACTV,2.70805020110221,2.620741394208897,2.772588722239781,2.5145814336900565,4.605170185988092,True,-0.7989569740454013,-0.02931592628539684,0.3474174082989062,0.3589583633635987,5.633360010359655,6.429719478039138,9.603260452582052,9.507700460979235,2.63536516597464,6.821107472256465,4.060443010546419,4.820281565605037,5.455321115357702,2.833213344056216,1,1,0,1.5720664164243778,0.0,2.0,0,1,0,0,0,-5.542817442035632,-4.782978886977015,-4.147939337224351,0.8260334720612402,0.2919484911550468,0.06190508337271316,18.921456031864853
ACW,2.1972245773362196,2.6684016487219453,2.833213344056216,0.0,4.663439094112067,True,1.1421647591853834,-0.02492507736968316,0.3505721128182727,0.3589583633635987,6.20255171138878,5.953243334287785,9.119758993744945,9.000483164987708,2.414223826253783,6.129050210060545,4.394449154672439,4.499809670330265,4.990432586778736,2.8903717578961645,1,0,1,1.1173058638789977,0.0,1.0,1,0,0,0,0,-4.725309839072506,-4.619949323414679,-4.129326406966208,0.7877679930695397,0.2644897959183673,0.050251806437486314,18.410630408098864
