I1,C3,C5_Prime,S2_Prime,T4_Prime,T5_Prime,market_cap,C4,S1,C5_Prime,C6_Prime,S2_Prime,industry_2,Y1,Y2
AATI,0.43084814475049826,0.445610949320694,0.5961709706915019,0.6006369488722549,0.6145654301784008,0.8404482833791437,0.7499624159175221,0.5457709605421613,0.445610949320694,0.48074985676913606,0.5961709706915019,0,0,1
ABPI,0.32321122273773223,0.6392340244371438,0.6734661383573171,0.6087824929019722,0.5822808094520929,0.7753910614635918,0.5837477664041902,0.5841026965996935,0.6392340244371438,0.0,0.6734661383573171,0,1,0
ACAD,0.327228630358899,0.4222270238766626,0.4389352734845948,0.5938853250313891,0.6995486094656239,0.7969324161653057,0.7172127773075367,0.5411725487098266,0.4222270238766626,0.0,0.4389352734845948,0,1,0
ACHN,0.3314531509603565,0.4186760437352502,0.4923913636085131,0.4264553968081494,0.6980347686105607,0.8136841321108651,0.714502216419646,0.6178534938082144,0.4186760437352502,0.0,0.4923913636085131,0,1,1
ACLI,0.38687251868691896,0.4394067821361561,0.6323797606905119,0.5053139254363361,0.5501066780799746,0.8835705700736616,0.49934718361447566,0.5677041264796688,0.4394067821361561,0.36840314986403866,0.6323797606905119,0,0,1
ACOM,0.38604427538463165,0.5126141936068762,0.37245688137652255,0.6057342138374228,0.5131238937650181,0.8345572906053103,0.410565303589394,0.5457709605421613,0.5126141936068762,0.0,0.37245688137652255,1,0,1
ACOR,0.32090210321865675,0.4269174094710081,0.46770562559346196,0.8585049262512618,0.5019798686659879,0.800164590250206,0.6521407939933321,0.624836468265317,0.4269174094710081,0.0,0.46770562559346196,0,1,1
ACRX,0.334043113381725,0.3659088539475839,0.6578133680203966,1.0,0.0,0.7996625403253623,0.7951957819219213,0.5118916488589594,0.3659088539475839,0.0,0.6578133680203966,0,1,0
ACTV,0.33827815598474953,0.4831711931654922,0.5574652241952629,0.42754418556096935,0.7011489106912917,0.8512784328991452,0.5212034976301432,0.5269109001524853,0.4831711931654922,0.0,0.5574652241952629,1,1,1
ACW,0.41616495525704555,0.405627357542938,0.6243808182566046,0.3873322788472666,0.5693513006192038,0.0,0.5384057995968172,0.6213665339745921,0.405627357542938,0.0,0.6243808182566046,0,1,0
ADLS,0.07516402159710145,0.3745060145256539,0.48892360085342057,0.43570435407520813,0.7533085371598673,0.8043682368751266,0.6967311481915252,0.3308915830734154,0.3745060145256539,0.0,0.48892360085342057,0,1,1
ADZA,0.39626978330616025,0.461320916109342,0.5124630896940245,0.6860859947709983,0.5120453050561089,0.8229378734501059,0.7133580183524376,0.23961252763300123,0.461320916109342,0.4054801330382267,0.5124630896940245,0,0,1
AFFY,0.31822944574848694,0.4457561822024374,0.675939995977547,0.45155646864705795,0.7784171218450905,0.8403262687665947,0.6113132884355093,0.6213665339745921,0.4457561822024374,0.44303093598303056,0.675939995977547,0,0,1
AGAM,0.39299124801818014,0.43532925472737205,0.7608299262550176,0.543091222033863,0.5527552204963962,0.8558113323466077,0.7272410093023549,0.6752443723450726,0.43532925472737205,0.0,0.7608299262550176,0,1,1
AH,0.392563688277145,0.5898002605684786,0.35174016113340434,0.7274106257305105,0.4056010690633065,0.8428850852613252,0.30126556843081354,0.6752443723450726,0.5898002605684786,0.0,0.35174016113340434,1,1,1
AHII,0.3974919611310668,0.338517374915245,0.35499862462410503,0.3966671910915655,0.5896277586563331,0.8455436907275601,0.6370547923643988,0.3920386341581398,0.338517374915245,0.0,0.35499862462410503,0,0,1
AIMC,0.39117070480863836,0.35778137711256136,0.6996107249279722,0.5844066662361757,0.6033640144159353,0.8446336294993587,0.6113132884355093,0.5880579512372098,0.35778137711256136,0.0,0.6996107249279722,0,1,1
AIRV,0.41273658799506985,0.5617212519835125,0.38870332103485783,0.5480396358544607,0.43864340841140453,0.8158279598125832,0.7803506301780748,0.5067025840663658,0.5617212519835125,0.0,0.38870332103485783,0,1,1
