I1,P(IPO),P(H),P(L),S2,P(Mid),C6_Prime,Y1,Y2
AATI,2.302585092994046,2.1179117921274466,2.1400661634962708,4.762173934797756,2.1972245773362196,2.2314431669405645,0,1
ABPI,2.0794415416798357,2.1544346900318834,2.0794415416798357,5.488937726156687,2.1972245773362196,0.0,1,0
ACAD,1.9459101490553132,2.4101422641752306,2.4849066497880004,3.4965075614664802,2.5649493574615367,0.0,1,0
ACHN,2.4423470353692043,2.519842099789747,2.6390573296152584,4.07753744390572,2.70805020110221,0.0,1,1
ACLI,3.044522437723423,2.7589241763811208,2.9444389791664403,5.003946305945459,2.995732273553991,1.7099759466766968,0,1
ACOM,2.6026896854443837,2.4384994805366564,2.5257286443082556,4.564348191467836,2.6026896854443837,0.0,0,1
ACOR,1.791759469228055,2.3513346877207577,2.3978952727983707,4.663439094112067,2.4849066497880004,0.0,1,1
ACRX,1.6094379124341003,2.4101422641752306,2.4849066497880004,4.787491742782046,2.5649493574615367,0.0,1,0
ACTV,2.70805020110221,2.620741394208897,2.772588722239781,4.820281565605037,2.833213344056216,0.0,1,1
ACW,2.1972245773362196,2.6684016487219453,2.833213344056216,4.499809670330265,2.8903717578961645,0.0,1,0
ADLS,1.6094379124341003,2.080083823051904,2.0794415416798357,3.713572066704308,2.1400661634962708,0.0,1,1
ADZA,2.772588722239781,2.519842099789747,2.6390573296152584,3.7612001156935624,2.70805020110221,1.8820720577620569,0,1
AFFY,3.2188758248682006,2.8844991406148166,3.091042453358316,4.770684624465665,3.1354942159291497,2.0563674454038523,0,1
AGAM,2.6741486494265287,2.519842099789747,2.70805020110221,5.545177444479562,2.740840023925201,0.0,1,1
AH,2.4849066497880004,2.519842099789747,2.6390573296152584,4.5217885770490405,2.70805020110221,0.0,1,1
AHII,2.3978952727983707,2.2894284851066633,2.302585092994046,3.4965075614664802,2.3978952727983707,0.0,0,1
AIMC,2.6026896854443837,2.519842099789747,2.6390573296152584,4.897839799950911,2.70805020110221,0.0,1,1
AIRV,1.9459101490553132,2.1544346900318834,2.0794415416798357,4.31748811353631,2.1972245773362196,0.0,1,1
ALGT,2.8903717578961645,2.5712815906582356,2.70805020110221,4.356708826689592,2.772588722239781,2.320794416806389,0,1
ALIM,2.3978952727983707,2.5712815906582356,2.70805020110221,4.912654885736052,2.772588722239781,0.0,1,0
ALJ,2.772588722239781,2.519842099789747,2.6390573296152584,4.290459441148391,2.70805020110221,1.8820720577620569,0,1
ALLI,2.5649493574615367,2.4101422641752306,2.4849066497880004,4.532599493153256,2.5649493574615367,0.0,0,1
ALNY,1.791759469228055,2.0,1.791759469228055,3.6635616461296463,1.9459101490553132,0.0,1,1
ALTU,2.70805020110221,2.519842099789747,2.6390573296152584,3.9318256327243257,2.70805020110221,0.0,0,1
ALXA,2.0794415416798357,2.2894284851066633,2.302585092994046,4.442651256490317,2.3978952727983707,0.0,1,1
AMBA,1.791759469228055,2.2239800905693157,2.1972245773362196,4.477336814478207,2.302585092994046,0.0,1,1
AMIS,2.995732273553991,2.7144176165949063,2.8903717578961645,5.198497031265826,2.9444389791664403,1.739464085489495,0,1
AMRC,2.302585092994046,2.519842099789747,2.6390573296152584,5.099866427824199,2.70805020110221,0.0,1,1
ANAC,1.6094379124341003,2.620741394208897,2.772588722239781,4.624972813284271,2.833213344056216,0.0,1,1
ANFI,2.302585092994046,2.46621207433047,2.5649493574615367,4.465908118654584,2.6390573296152584,0.0,1,0
ANGI,2.5649493574615367,2.3513346877207577,2.3978952727983707,4.59511985013459,2.4849066497880004,2.027400665191134,0,1
ANGO,2.3978952727983707,2.4101422641752306,2.4849066497880004,3.8501476017100584,2.5649493574615367,0.0,1,1
AONE,2.6026896854443837,2.1179117921274466,2.0794415416798357,5.003946305945459,2.169053700369523,3.786417676010863,0,1
AOSL,2.8903717578961645,2.7144176165949063,2.772588722239781,4.7535901911063645,2.8903717578961645,0.0,0,0
APEI,2.995732273553991,2.6684016487219453,2.8903717578961645,4.23410650459726,2.917770732084279,2.008968729832627,0,1
APKT,2.2512917986064953,1.9574338205844317,1.8718021769015913,5.003946305945459,1.9459101490553132,3.2931687800417477,0,1
ARAY,2.8903717578961645,2.620741394208897,2.833213344056216,4.442651256490317,2.8622008809294686,1.4189834119703841,0,1
ARBX,2.8622008809294686,2.519842099789747,2.6390573296152584,4.0943445622221,2.70805020110221,2.5543647746451774,0,1
ARCL,2.803360380906535,2.5712815906582356,2.70805020110221,4.430816798843313,2.772588722239781,1.462008869106433,0,1
ARCO,2.833213344056216,2.46621207433047,2.5649493574615367,4.969813299576001,2.6390573296152584,2.777566121439121,0,1
AREX,2.4849066497880004,2.519842099789747,2.6390573296152584,4.219507705176107,2.70805020110221,0.0,1,1
ARII,3.044522437723423,2.620741394208897,2.772588722239781,5.5909869805108565,2.833213344056216,2.8655216231663623,0,1
ARP,2.5649493574615367,2.519842099789747,2.6390573296152584,4.941642422609304,2.70805020110221,0.0,1,1
ARST,2.1972245773362196,2.2239800905693157,2.1972245773362196,5.049856007249537,2.302585092994046,0.0,1,0
ARTE,1.791759469228055,2.4101422641752306,2.4849066497880004,4.343805421853684,2.5649493574615367,0.0,1,1
ARUN,2.3978952727983707,2.1544346900318834,2.0794415416798357,4.418840607796598,2.1972245773362196,2.811442217672497,0,1
ASPV,2.3978952727983707,2.46621207433047,2.5649493574615367,4.0943445622221,2.6390573296152584,0.0,1,1
ATEC,2.1972245773362196,2.2894284851066633,2.3978952727983707,6.633318433280377,2.4423470353692043,0.0,1,0
ATHN,2.8903717578961645,2.519842099789747,2.6390573296152584,4.31748811353631,2.70805020110221,2.7144176165949063,0,1
ATRC,2.4849066497880004,2.4101422641752306,2.4849066497880004,3.9889840465642745,2.5649493574615367,0.0,1,1
AUXL,2.0149030205422647,2.080083823051904,2.0794415416798357,3.6888794541139363,2.1400661634962708,0.0,1,0
AVAV,2.833213344056216,2.519842099789747,2.6390573296152584,4.07753744390572,2.70805020110221,2.371262202993375,0,1
AVEO,2.1972245773362196,2.46621207433047,2.5649493574615367,4.584967478670572,2.6390573296152584,0.0,1,0
AVGO,2.70805020110221,2.46621207433047,2.5649493574615367,5.780743515792329,2.6390573296152584,1.9258567855541788,0,1
AVNC,2.302585092994046,2.4101422641752306,2.4849066497880004,3.9318256327243257,2.5649493574615367,0.0,1,0
AVR,3.7612001156935624,3.5033980603867243,3.6888794541139363,4.31748811353631,3.7256934272366524,1.5346678229284634,0,0
AVRX,2.3513752571634776,2.2894284851066633,2.302585092994046,3.6375861597263857,2.3978952727983707,0.0,1,0
AWAY,3.295836866004329,3.0000000000000004,3.1780538303479458,5.056245805348308,3.2386784521643803,1.805165505978112,0,1
AWK,3.044522437723423,2.9624960684073707,3.1780538303479458,5.700443573390687,3.2188758248682006,0.0,1,0
AYR,3.1354942159291497,2.843866979851566,3.044522437723423,4.430816798843313,3.091042453358316,1.6565038123598101,0,1
