I1,C3,T3,T5,S2_Prime,industry_4,market_cap,C5,C6,C5_Prime,C6_Prime,industry_1,industry_2,Y1,Y2
AATI,0.43084814475049826,0.5023089009152044,0.626591785724973,0.5961709706915019,0,0.8404482833791437,0.5495894737604257,0.5071231948444099,0.445610949320694,0.48074985676913606,1,0,0,1
ABPI,0.32321122273773223,0.6987746313144361,0.7581381350465115,0.6734661383573171,0,0.7753910614635918,0.6083350141847745,0.7719981929127089,0.6392340244371438,0.0,1,0,1,0
ACAD,0.327228630358899,0.17360782833076094,0.42213598653556916,0.4389352734845948,0,0.7969324161653057,0.70288175851136,0.6355969155517354,0.4222270238766626,0.0,1,0,1,0
ACHN,0.3314531509603565,0.34474166183277744,0.5439684102509486,0.4923913636085131,0,0.8136841321108651,0.7257895468433038,0.6544787132015593,0.4186760437352502,0.0,1,0,1,1
ACLI,0.38687251868691896,0.551068653354994,0.6381496926826964,0.6323797606905119,0,0.8835705700736616,0.5976335284447494,0.5488141935021345,0.4394067821361561,0.36840314986403866,0,0,0,1
ACOM,0.38604427538463165,0.5719127705362488,0.6718072150220211,0.37245688137652255,0,0.8345572906053103,0.5438928993989443,0.5670832537282804,0.5126141936068762,0.0,0,1,0,1
ACOR,0.32090210321865675,0.5724205585885493,0.629722308264741,0.46770562559346196,0,0.800164590250206,0.680869143780173,0.6187075649801672,0.4269174094710081,0.0,1,0,1,1
ACRX,0.334043113381725,0.4503684867381694,0.0,0.6578133680203966,0,0.7996625403253623,0.6778608205704657,0.5540106036374697,0.3659088539475839,0.0,1,0,1,0
ACTV,0.33827815598474953,0.55909857651791,0.703830554486647,0.5574652241952629,0,0.8512784328991452,0.5076405302944913,0.5010559256710216,0.4831711931654922,0.0,0,1,1,1
ACW,0.41616495525704555,0.37008427509797226,0.5158886862364369,0.6243808182566046,0,0.0,0.582493778007823,0.5010559256710216,0.405627357542938,0.0,1,0,1,0
ADLS,0.07516402159710145,0.20460206125521996,0.4681448440879945,0.48892360085342057,0,0.8043682368751266,0.6927011989325873,0.5767624568137482,0.3745060145256539,0.0,1,0,1,1
ADZA,0.39626978330616025,0.18721861931976935,0.3604904186481819,0.5124630896940245,0,0.8229378734501059,0.7134490852626332,0.6876902221847185,0.461320916109342,0.4054801330382267,1,0,0,1
AFFY,0.31822944574848694,0.4420874610020702,0.640403397094792,0.675939995977547,0,0.8403262687665947,0.7325509161915829,0.6901627837552127,0.4457561822024374,0.44303093598303056,1,0,0,1
AGAM,0.39299124801818014,0.6342456245095942,0.7014509570220471,0.7608299262550176,0,0.8558113323466077,0.5169132447905262,0.465002947175881,0.43532925472737205,0.0,1,0,1,1
AH,0.392563688277145,0.6183218584523043,0.609955722280846,0.35174016113340434,0,0.8428850852613252,0.42439066805519055,0.5167159745638852,0.5898002605684786,0.0,0,1,1,1
AHII,0.3974919611310668,0.2379632307872197,0.43117545359226694,0.35499862462410503,0,0.8455436907275601,0.6377836703510589,0.4896217212425116,0.338517374915245,0.0,0,0,0,1
AIMC,0.39117070480863836,0.4326479332919497,0.5899911255276749,0.6996107249279722,0,0.8446336294993587,0.6469365280453356,0.5167159745638852,0.35778137711256136,0.0,1,0,1,1
AIRV,0.41273658799506985,0.5293790925808066,0.5513370357917666,0.38870332103485783,0,0.8158279598125832,0.47905734360822017,0.5477958589606331,0.5617212519835125,0.0,1,0,1,1
ALGT,0.4047333318084917,0.45526481712250044,0.4975323881227247,0.4645851829213661,0,0.8403640210927806,0.6808793272676947,0.6355969155517354,0.44315954664386376,0.5,0,0,0,1
ALIM,0.3251306697144774,0.5314418165140133,0.6556764074493524,0.6244250963874827,0,0.8221153120415425,0.5959347512737594,0.5882080705987347,0.4804602177197961,0.0,1,0,1,0
ALJ,0.4054464317831006,0.5289891819443544,0.6206229779160404,0.35403565484870514,0,0.8514752590059617,0.5334127217502473,0.5134491997427792,0.4689617285998876,0.4054801330382267,1,0,0,1
ALLI,0.3321787474708007,0.2509699434031658,0.4075457893379457,0.7731412451976065,0,0.8192312202530275,0.7667898079294471,0.6758549630351451,0.40094059916785074,0.0,0,1,0,1
ALNY,0.24616015938592734,0.25649729252980213,0.467438550261861,0.41869964955002503,0,0.7933585168340264,0.6786743997370301,0.6355969155517354,0.44527181180832764,0.0,1,0,1,1
ALTU,0.32555615700855145,0.34909503689304744,0.5240480500272142,0.4159298327268801,0,0.8382651484820227,0.6635535168894471,0.5767624568137482,0.40245558462619474,0.0,1,0,0,1
ALXA,0.2628930035404382,0.3171253587276124,0.5123153475357562,0.6641464249789923,0,0.8836479381309013,0.6503100920231439,0.6187075649801672,0.4564318601934627,0.0,1,0,1,1
AMBA,0.3993989124187242,0.5338191742326308,0.6588403635064601,0.45376707183403875,0,0.7996263827351463,0.6269110129117852,0.6034446675847658,0.4645478629842781,0.0,1,0,1,1
AMIS,0.34052758670376887,0.499181610715592,0.6698005323221305,0.7073907541430675,0,0.8919787923446751,0.4592579121191882,0.34527224815999435,0.36406996266558245,0.37475617678431544,1,0,0,1
AMRC,0.40218295540598514,0.634810810346861,0.6981445873992012,0.5813471089425082,0,0.8288577822985759,0.5518580430786209,0.5399473827706993,0.4770133601465575,0.0,0,0,1,1
ANAC,0.33117035657882316,0.48508988342586434,0.6001568460691487,0.5603685949375103,0,0.8166837055107847,0.6222833739303972,0.4868968859792613,0.3509316024146222,0.0,1,0,1,1
ANFI,0.39455849441206997,0.6037308330100069,0.6941844412852156,0.3566263401723302,0,0.8280193279641281,0.5725980812117957,0.534213707854617,0.449902034567933,0.0,1,0,1,0
