I1,P(IPO),P(L),C6_Prime,P(1Day),Y1,Y2
AATI,2.302585092994046,2.1400661634962708,2.2314431669405645,2.28113106171745,0,1
ABPI,2.0794415416798357,2.0794415416798357,0.0,1.9354383203138983,1,0
ACAD,1.9459101490553132,2.4849066497880004,0.0,1.8852036131317298,1,0
ACHN,2.4423470353692043,2.6390573296152584,0.0,2.3139667072068093,1,1
ACLI,3.044522437723423,2.9444389791664403,1.7099759466766968,3.83947761435294,0,1
ACOM,2.6026896854443837,2.5257286443082556,0.0,2.4215648991616385,0,1
ACOR,1.791759469228055,2.3978952727983707,0.0,1.8870775724874946,1,1
ACRX,1.6094379124341003,2.4849066497880004,0.0,1.6570558194979235,1,0
ACTV,2.70805020110221,2.772588722239781,0.0,2.5145814336900565,1,1
ACW,2.1972245773362196,2.833213344056216,0.0,0.0,1,0
ADLS,1.6094379124341003,2.0794415416798357,0.0,1.8171205928321394,1,1
ADZA,2.772588722239781,2.6390573296152584,1.8820720577620569,2.7007771317150056,0,1
AFFY,3.2188758248682006,3.091042453358316,2.0563674454038523,3.2357960345758863,0,1
AGAM,2.6741486494265287,2.70805020110221,0.0,2.4440924101318706,1,1
AH,2.4849066497880004,2.6390573296152584,0.0,2.3840375878042805,1,1
AHII,2.3978952727983707,2.302585092994046,0.0,2.3176958892008144,0,1
AIMC,2.6026896854443837,2.6390573296152584,0.0,2.426670119533352,1,1
AIRV,1.9459101490553132,2.0794415416798357,0.0,1.9282931275651747,1,1
ALGT,2.8903717578961645,2.70805020110221,2.320794416806389,2.9279112566304817,0,1
ALIM,2.3978952727983707,2.70805020110221,0.0,2.2239800905693157,1,0
ALJ,2.772588722239781,2.6390573296152584,1.8820720577620569,2.5838246261818116,0,1
ALLI,2.5649493574615367,2.4849066497880004,0.0,2.545821684829745,0,1
ALNY,1.791759469228055,1.791759469228055,0.0,1.8181295670318784,1,1
ALTU,2.70805020110221,2.6390573296152584,0.0,2.562174259605524,0,1
ALXA,2.0794415416798357,2.302585092994046,0.0,4.398552954172393,1,1
AMBA,1.791759469228055,2.1972245773362196,0.0,1.8231575769334178,1,1
AMIS,2.995732273553991,2.8903717578961645,1.739464085489495,2.7189341439824974,0,1
AMRC,2.302585092994046,2.6390573296152584,0.0,2.1665746234664796,1,1
ANAC,1.6094379124341003,2.772588722239781,0.0,1.7201748687122045,1,1
ANFI,2.302585092994046,2.5649493574615367,0.0,2.123840191919127,1,0
ANGI,2.5649493574615367,2.3978952727983707,2.027400665191134,2.5334179838207707,0,1
ANGO,2.3978952727983707,2.4849066497880004,0.0,2.320794416806389,1,1
AONE,2.6026896854443837,2.0794415416798357,3.786417676010863,2.7274743958616297,0,1
AOSL,2.8903717578961645,2.772588722239781,0.0,2.6061001127817303,0,0
APEI,2.995732273553991,2.8903717578961645,2.008968729832627,3.299479506796629,0,1
APKT,2.2512917986064953,1.8718021769015913,3.2931687800417477,2.5151085012041587,0,1
ARAY,2.8903717578961645,2.833213344056216,1.4189834119703841,3.0534851967987517,0,1
ARBX,2.8622008809294686,2.6390573296152584,2.5543647746451774,4.876998961073313,0,1
ARCL,2.803360380906535,2.70805020110221,1.462008869106433,2.6575906943021392,0,1
ARCO,2.833213344056216,2.5649493574615367,2.777566121439121,2.767655007288918,0,1
AREX,2.4849066497880004,2.6390573296152584,0.0,2.3263510182449534,1,1
ARII,3.044522437723423,2.772588722239781,2.8655216231663623,2.8420110699458077,0,1
ARP,2.5649493574615367,2.6390573296152584,0.0,2.395709928531392,1,1
ARST,2.1972245773362196,2.1972245773362196,0.0,2.0629949628246944,1,0
ARTE,1.791759469228055,2.4849066497880004,0.0,1.9721129638901198,1,1
ARUN,2.3978952727983707,2.0794415416798357,2.811442217672497,2.418719333461711,0,1
ASPV,2.3978952727983707,2.5649493574615367,0.0,2.454648954358737,1,1
ATEC,2.1972245773362196,2.3978952727983707,0.0,2.0785418421549138,1,0
ATHN,2.8903717578961645,2.6390573296152584,2.7144176165949063,3.286569225721215,0,1
ATRC,2.4849066497880004,2.4849066497880004,0.0,2.4147242903575985,1,1
AUXL,2.0149030205422647,2.0794415416798357,0.0,1.9309787521601034,1,0
AVAV,2.833213344056216,2.6390573296152584,2.371262202993375,2.8816920477988734,0,1
AVEO,2.1972245773362196,2.5649493574615367,0.0,2.0793131184796754,1,0
AVGO,2.70805020110221,2.5649493574615367,1.9258567855541788,2.5292563081091677,0,1
AVNC,2.302585092994046,2.4849066497880004,0.0,2.1544346900318834,1,0
AVR,3.7612001156935624,3.6888794541139363,1.5346678229284634,3.3728518566188654,0,0
AVRX,2.3513752571634776,2.302585092994046,0.0,2.117168387263181,1,0
AWAY,3.295836866004329,3.1780538303479458,1.805165505978112,3.4259263400043523,0,1
AWK,3.044522437723423,3.1780538303479458,0.0,2.7412948034142475,1,0
AYR,3.1354942159291497,3.044522437723423,1.6565038123598101,2.985111431726801,0,1
BAGL,2.8903717578961645,2.9444389791664403,0.0,2.6318566022828622,1,1
BAH,2.833213344056216,2.833213344056216,0.0,2.6800542054826817,1,1
BALT,2.6390573296152584,2.6390573296152584,0.0,2.4078447032368646,1,0
BARE,3.091042453358316,2.70805020110221,3.3471647504108475,3.0055452850494535,0,1
BAS,2.995732273553991,2.3978952727983707,4.196691337474689,2.780648883260618,0,1
BBBB,2.6390573296152584,2.5649493574615367,0.0,2.7148699545026838,0,1
BBG,3.2188758248682006,2.995732273553991,2.5344079845856546,3.0740814843006015,0,1
BBND,2.5649493574615367,2.302585092994046,2.6295358943292957,2.5712815906582356,0,1
BBRG,2.6390573296152584,2.6390573296152584,0.0,2.5172145152748016,1,1
BBW,2.995732273553991,2.772588722239781,2.6034991753306884,2.925965755545217,0,1
BCOV,2.3978952727983707,2.302585092994046,0.0,2.427236053708521,0,1
BDAY,2.740840023925201,2.5649493574615367,2.2045556915418465,2.5560665894060755,0,1
BDE,2.5649493574615367,2.4849066497880004,0.0,2.330040707351206,1,0
BEAT,2.8903717578961645,2.8903717578961645,0.0,2.6061001127817303,1,0
BECN,2.5649493574615367,2.4849066497880004,0.0,2.2008261255136423,0,0
BFAM,3.091042453358316,2.9444389791664403,2.1544346900318834,3.0481131281889144,0,1
BFRM,2.0794415416798357,2.1972245773362196,0.0,2.0448213680355423,1,1
BHRT,1.6582280766035324,2.6390573296152584,0.0,1.7099759466766968,1,0
BIOD,2.70805020110221,2.6390573296152584,0.0,4.160167646103808,0,1
BIOF,2.3513752571634776,2.5649493574615367,0.0,4.430937781168164,1,1
BKC,2.833213344056216,2.70805020110221,1.8420157493201932,2.596247050925552,0,1
BKRS,2.0476928433652555,1.9459101490553132,1.4938015821857216,2.0238803951673976,0,1
BLMN,2.3978952727983707,2.5649493574615367,0.0,2.3152110792121467,1,1
BLOG,2.833213344056216,2.772588722239781,1.4470893702387337,2.926744266369999,0,1
BLSW,1.6094379124341003,1.6094379124341003,0.0,2.924017738212866,1,1
BMTI,2.0794415416798357,2.3978952727983707,0.0,2.0206200103110956,1,1
BNNY,2.9444389791664403,2.772588722239781,2.274366019525953,3.299479506796629,0,1
BODY,2.5649493574615367,2.6390573296152584,0.0,2.3513346877207577,1,0
BOX,2.302585092994046,2.772588722239781,0.0,2.2239800905693157,1,1
BPI,2.3513752571634776,2.6390573296152584,0.0,2.2306991300294965,1,1
