I1,C4,S2,T1,T3_Prime,C4,C6_Prime,industry_1,industry_2,Y1,Y2
AATI,0.029074273483673547,4.762173934797756,6.152732694704104,0.826056463168774,0.029074273483673547,2.2314431669405645,1,0,0,1
ABPI,-0.013351642245815755,5.488937726156687,6.673297967767654,0.807705371897513,-0.013351642245815755,0.0,1,0,1,0
ACAD,0.02071500183158597,3.4965075614664802,5.303304908059076,0.8269175261887148,0.02071500183158597,0.0,1,0,1,0
ACHN,0.020023137256796594,4.07753744390572,5.793013608384144,0.8409993678299864,0.020023137256796594,0.0,1,0,1,1
ACLI,-0.034894701316965815,5.003946305945459,6.349138991379798,0.789377730712062,-0.034894701316965815,1.7099759466766968,0,0,0,1
ACOM,-0.057556076660705446,4.564348191467836,6.234410725718371,0.5993146010071656,-0.057556076660705446,0.0,0,1,0,1
ACOR,0.004105524336536758,4.663439094112067,6.20455776256869,0.7840305693869813,0.004105524336536758,0.0,1,0,1,1
ACRX,0.040619988496656566,4.787491742782046,5.811140992976701,0.8024176143740532,0.040619988496656566,0.0,1,0,1,0
ACTV,-0.02931592628539684,4.820281565605037,6.429719478039138,0.8260334720612402,-0.02931592628539684,0.0,0,1,1,1
ACW,-0.02492507736968316,4.499809670330265,5.953243334287785,0.7877679930695397,-0.02492507736968316,0.0,1,0,1,0
ADLS,0.015487112031121256,3.713572066704308,5.53338948872752,0.8071414345816643,0.015487112031121256,0.0,1,0,1,1
ADZA,0.019731083271667373,3.7612001156935624,5.327876168789581,0.7496804523910281,0.019731083271667373,1.8820720577620569,1,0,0,1
AFFY,-0.0063156046994000984,4.770684624465665,6.030685260261263,0.8670744761699798,-0.0063156046994000984,2.0563674454038523,1,0,0,1
AGAM,0.023274685510332935,5.545177444479562,6.436150368369428,0.7814017264830883,0.023274685510332935,0.0,1,0,1,1
AH,-0.08545458841445729,4.5217885770490405,6.373319789577012,0.7567523057394051,-0.08545458841445729,0.0,0,1,1,1
AHII,0.0002548563257563511,3.4965075614664802,5.594711379601839,0.7759601406297745,0.0002548563257563511,0.0,0,0,0,1
AIMC,-0.0063156046994000984,4.897839799950911,5.968707559985366,0.7172991829698709,-0.0063156046994000984,0.0,1,0,1,1
AIRV,0.036830796877746964,4.31748811353631,6.269096283706261,0.8458936537328507,0.036830796877746964,0.0,1,0,1,1
ALGT,-0.01269239188194706,4.356708826689592,6.238324625039508,0.7604663959327919,-0.01269239188194706,2.320794416806389,0,0,0,1
ALIM,0.045262646375410436,4.912654885736052,6.159095388491933,0.8203494934553199,0.045262646375410436,0.0,1,0,1,0
ALJ,0.05404000937680397,4.290459441148391,6.3818160174060985,0.7525244349328375,0.05404000937680397,1.8820720577620569,1,0,0,1
ALLI,0.002545640136170962,4.532599493153256,5.631211781821365,0.8036826353390306,0.002545640136170962,0.0,0,1,0,1
ALNY,0.03582773310561604,3.6635616461296463,5.5134287461649825,0.8370303304662743,0.03582773310561604,0.0,1,0,1,1
ALTU,-0.0017460164572123166,3.9318256327243257,5.572154032177765,0.7937792753202437,-0.0017460164572123166,0.0,1,0,0,1
ALXA,-0.003957877372461608,4.442651256490317,5.556828061699537,0.8067848061211341,-0.003957877372461608,0.0,1,0,1,1
AMBA,-0.037115500330326075,4.477336814478207,6.212606095751519,0.8639904417095201,-0.037115500330326075,0.0,1,0,1,1
AMIS,0.025763708515827013,5.198497031265826,6.267200548541362,0.0,0.025763708515827013,1.739464085489495,1,0,0,1
AMRC,0.035642375510738435,5.099866427824199,6.46302945692067,0.7964625798476241,0.035642375510738435,0.0,0,0,1,1
ANAC,-0.015947285678912314,4.624972813284271,5.998936561946683,0.832303701367867,-0.015947285678912314,0.0,1,0,1,1
ANFI,-0.037115500330326075,4.465908118654584,6.359573868672378,0.8013486538744462,-0.037115500330326075,0.0,1,0,1,0
ANGI,-0.03446512812118845,4.59511985013459,6.236369590203704,0.727296003260547,-0.03446512812118845,2.027400665191134,0,1,0,1
ANGO,0.02071500183158597,3.8501476017100584,5.796057750765372,0.774518092284842,0.02071500183158597,0.0,1,0,1,1
AONE,0.08509670457922383,5.003946305945459,6.284134161070802,0.8505214099240475,0.08509670457922383,3.786417676010863,1,0,0,1
AOSL,0.016442651117707995,4.7535901911063645,5.961005339623274,0.8269209286111816,0.016442651117707995,0.0,1,0,0,0
APEI,-0.012382727363617861,4.23410650459726,5.991464547107982,0.8086685298543662,-0.012382727363617861,2.008968729832627,0,1,0,1
APKT,0.05647474671864434,5.003946305945459,6.304448802421981,0.8300189811644416,0.05647474671864434,3.2931687800417477,1,0,0,1
ARAY,0.016234824406075828,4.442651256490317,6.154858094016418,0.8072361706716663,0.016234824406075828,1.4189834119703841,1,0,0,1
ARBX,0.036866889518440776,4.0943445622221,5.7745515455444085,0.7873179398631627,0.036866889518440776,2.5543647746451774,0,1,0,1
ARCL,0.05699491838087051,4.430816798843313,6.282266746896006,0.7613057608670105,0.05699491838087051,1.462008869106433,0,1,0,1
ARCO,0.004669618127058825,4.969813299576001,6.349138991379798,0.7706883053964853,0.004669618127058825,2.777566121439121,0,0,0,1
AREX,-0.019999416118981355,4.219507705176107,5.786897381366708,0.7798461444187377,-0.019999416118981355,0.0,0,0,1,1
ARII,0.02925670137266296,5.5909869805108565,6.48768401848461,0.8429544956904002,0.02925670137266296,2.8655216231663623,1,0,0,1
ARP,-0.006417682468154485,4.941642422609304,6.2285110035911835,0.8138737252705391,-0.006417682468154485,0.0,0,1,1,1
ARST,-0.0008063218195906665,5.049856007249537,6.304448802421981,0.701036054489743,-0.0008063218195906665,0.0,0,1,1,0
ARTE,-0.004839837912175111,4.343805421853684,5.634789603169249,0.7821671125213763,-0.004839837912175111,0.0,1,0,1,1
ARUN,0.0283099533258931,4.418840607796598,6.008813185442595,0.8366186554758888,0.0283099533258931,2.811442217672497,1,0,0,1
ASPV,0.0027190288727909386,4.0943445622221,5.407171771460119,0.8563263151402564,0.0027190288727909386,0.0,1,0,1,1
ATEC,-0.02246402239096419,6.633318433280377,7.234177179749849,0.8038813710363438,-0.02246402239096419,0.0,1,0,1,0
ATHN,0.03469512390660059,4.31748811353631,6.115892125483034,0.7986131973520055,0.03469512390660059,2.7144176165949063,0,1,0,1
ATRC,0.015487112031121256,3.9889840465642745,5.5134287461649825,0.8016055727314711,0.015487112031121256,0.0,1,0,1,1
AUXL,-0.05993323169635589,3.6888794541139363,5.676753802268282,0.8302831404432326,-0.05993323169635589,0.0,1,0,1,0
AVAV,0.002756461109020153,4.07753744390572,5.793013608384144,0.7425228143974844,0.002756461109020153,2.371262202993375,1,0,0,1
